truthful,"If I go back to Lee, I would only order the slaw again. The decor and ambiance in the main dining area are  Asian-inspired, as expected but also appears somewhat dated.   1) Singaporean-style slaw  We ordered Chef Susur's famous signature dish, the Singaporean-style slaw ($20) and added tuna sashimi ($10). This slaw was very good. There are so many ingredients but they work well together and it was refreshing and light.   The tuna sashimi was smoked on the outside and it didn't really add any flavour so I would probably skip that. The tuna does add a contrasting texture to the crunchy slaw. I arrived hungry and felt full after eating half of this dish.  Note: there are peanuts.   2) Peking & Char Sui Duck ($29): Beijing duck garnish, steamed pancake, foie gras pâté  This is not the same as what you would expect from a traditional Chinese restaurant style Peking duck. I didn't enjoy this very much.   3) Warm Molten Chocolate Cake ($12): caramelized jackfruit & banana, vanilla bean ice cream  Nothing unique about this dessert but it was delicious anyway."
truthful,"For the price, the lunch specials are well worth it. Lunch specials are on until 3pm.   We ordered some specials like ma-po tofu, General Tsao chicken and corn/fish on rice. All were priced between $5-6.   The portions were good. My ma-po tofu was big enough to split into 2 meals. The staff was friendly but did get one of our orders wrong. To be fair we did have a group of 12.   The restaurant is small but has 2 large round tables and a few smaller tables. The plaza doesn't have too much parking but the plaza isn't usually packed so we didn't have troubles finding a spot (but we did go on a Sunday).   We'll come back because of the price and location."
truthful,The nduja sausage pizza was very good. The thin crust was not too crispy and not too soft.   Another favourite was the anchovie pizza but I wish there were more anchovies.   The calamari appetizer was great for sharing for 2-3 people.
truthful,Customizable level of spiciness and niceness. Even a mild level of spice may be too much for someone who can't take much heat. Ask for additional noodles at no charge.  Can only pay by debit with minimum $20 purchase.  The lamb noodle bowl was ok. The lamb smell wasn't that strong.
truthful,"A new grab 'n go sushi shop. Regular price: $3.99 for small boxes, 5.99 for large. Grand opening special, 40% off. Just opened this week so not too much variety yet but regular prices are better than other sushi joints. Quality is good so far from what I can tell. The ratio of rice to fish is fair. It's too early to make any concluding thoughts but will be back to get a quick bite."
truthful,I thought the pho here was ok. I came on a recommendation but didn't find the broth a standout. I did notice that it was empty at dinner time on a weeknight but filled up when we finished around 9pm.
truthful,Pricing seems standard for Chinatown:  Monday - Friday* 9pm - 4pm (*Except holidays) Dim Sum Special $2.00/dish  Monday - Friday: 4pm - close Saturday - Sunday & Holiday (S) $2.38 (M) $3.28 (L) $3.68  Overall: The dishes were all as expected. Nothing too greasy or too dry. Went on a weeknight and it was mostly empty. They charge for tea but it's fine given the price of the dishes.
truthful,"I've been twice and was glad that the food was good both times. The prices are decent for the entertainment district and the quality of the food.   The zucchini fritti was good but a bit too oily.   Arancini came in 3s and it was nice for sharing. Not a must try though.  The prosciutto pizza was good. The crust was very thin so if you like thin crust, you may enjoy this.  Overall, pleasantly surprised and would prefer to come here over some of the other ""nice"" restaurants in the area."
truthful,1. Maki set The maki sets contain large rolls but the rolls are similar so it almost feels like you ordered one type of roll.   2. Sashimi boat - Each piece was thick and evenly sliced   Service Great staff   Decor There are individual rooms with curtains or tables in the main dining area.   They take reservations but we've never had to wait. The location is not the best but there is lots of parking.
truthful,"Service was rushed and the staff didn't clear the plates often so the table was full of piles of plates. This was towards the end of the night with an hour left of service.   Last call was at 10 and the staff was turning down the restaurant even though closing is at 11.   The food was ok. Some special rolls were interesting but the menu was about the same in quality and selection as other AYCE places.   Overall, not a great experience and would not return."
